English,Nyishi
Do you know what Tom is doing now?,Sija Tom hogv nyidudo ham no cengpai?
Do you know what's going on there?,Olo hogv nyidudo ham no cengdwi?
Do you know what's wrong with Tom?,Tomwn hogv nyipa ham no cengdwi?
Do you know when Tom will be back?,Tom hwdam hookur taikun ham no cengpai?
Do you know when they will arrive?,Hwdam bulv haatayin ham no cengdwi?
Do you know why Tom doesn't drink?,Tom hoggab twwmadvn ham no cengpai?
Do you like any of these pictures?,No soqg gus tuulu soqgv hoglo ak ham no nvvnwdo?
Do you like looking in the mirror?,No wrsho kaadvb abydvnwi?
Do you like the new school better?,Nitbo iskul ham no abydvi?
Do you like to travel by yourself?,No atv vpub nyoody boodub abydvnwi?
Do you mind if I turn down the TV?,TV ham ngo mvtum kubalo no hog vs-axaqkindwi?
Do you need help with your makeup?,Noqg nyuqmam mvdar mvparkoho no hog svka koodub mwwdwi?
Do you often listen to audiobooks?,No lwxiam odyo kitap ham takydvnwi?
Do you plan to go to Tokyo by bus?,No Tokyob baasub wwdub mwwdo i?
Do you realize what you just said?,Sija noqg benam ham no mwwkurdvi?
Do you really want me to be frank?,No ngam jvqtwjaqb hoopu haabya mvdub mwwdo i?
Do you recognize this handwriting?,Soq xeqnbo sam no kaalaqdvi?
Do you regret getting that tattoo?,Noqg wwho coqp pvlwq nam ham no mwwkurdvi?
Do you remember meeting me before?,Otuqho ngam noqg kaapa nam ham no mwwpadvi?
Do you remember what I taught you?,Ngo hogv tomswrpan ham no mwwgabdvi?
Do you remember when we first met?,Ngunyug otuqjaqb kaapa mins namam no mwwgabdvi?
Do you remember who told you that?,Ham hiyv nam betompan ham no mwwgabdvi?
Do you suppose it will rain today?,Soolo nyodo hotayi hvl no mwwdo i?
Do you think English is difficult?,Inglis si vs-axaq jaqdo hvl no mwwdo i?
Do you think I can get by with it?,Soq lvgab ngo kaapatayi hvl no mwwdo i?
Do you think I should go up there?,Tolo ngo caayindo hvl no mwwdo i?
Do you think I'd let that stop me?,Ham ngam mvtor mvdub hvl no mwwdo i?
Do you think I'm happy about this?,Soq pagoqgab ngo hempdo hvl no mwwdo i?
Do you think I'm making a mistake?,Ngo nyimurpa hvl no mwwdo i?
Do you think Tom knows who we are?,Ngulv hiyv ham Tom cengdo hvl no mwwdo i?
Do you think he will like my gift?,Mwv ngoqg akyam abytai hvl no mwwdo i?
"Do you think you can do that, Tom?","Tom, ham no nyila kindo hvl mwwdwi?"
Do you think you'll be happy here?,No so hemptayi hvl mwwdwi?
Do you think you'll see Tom again?,Tomwn no lwgta kaapatayi hvl mwwdwi?
Do you understand what I'm saying?,Ngo hogv bepan ham no cengdwi?
Do you understand what's going on?,Hogv nyil wwdudo ham no cengdwi?
Do you want another cup of coffee?,No kopi taqgta twwnwdvi?
Do you want me to call the police?,Pulisam ngam no goqsv hvl mwwdwi?
Do you want me to do that for you?,Ngam no hoq ham noqgab nyitsv hvl mwwdwi?
Do you want me to give you a hand?,No ngam svka tvsv hvl mwwdwi?
Do you want me to help you or not?,No ngam svka koonwdvi ma svka koonwmai?
Do you want to come along with us?,No ngulug dookub haaba nwwdwi?
Do you want to come over and play?,Ngam no ho haal soosv hvl mwwdwi?
Do you want to go fishing with me?,No ngoqg lvgab ngui hortaab wwbanwwdwi?
Do you want to have sushi tonight?,No suyum susi dvnwdvi?
Do you want to know what it means?,Soqsi hog hvl bepan ham no cengdwi?
Do you want to leave it like that?,No sam soqsib doomdub opaqtainvi?
Do you want to meet up after work?,Boon nyixo kookwngam no kaapa nwwdwi?
Do you want to play hide and seek?,Kesil ho meepa minswl soonam ham no soonwdvi?
Do you want to see something cool?,No hog aljaqnbo ak kaapa nwwdwi?
Do you want to sleep on the couch?,No yubtaq nanho yubnwdvi?
Do you want to watch this program?,No soqg goqlw sam kvvnwdvi?
Does Tom ever talk about his work?,Tom mwwg boon nyinamam lwg bepakaas i?
Does Tom have a problem with that?,Tom hoq lvgab hog vs-axaqdvi?
Does Tom know how to ride a horse?,Tom gooraho xardub cengdnvi?
Does Tom know where Mary was born?,Meerin hogloho ko bvvpan ham Tom cengdnvi?
Does Tom really have a girlfriend?,Tom jvqtwjab nyemko ajin doodnvi?
Does anybody else know about this?,Soqsam hiyv nyi akgon cengdwi?
Does anyone else use your account?,Noqg ekontam nyi asaqkv mvn dvnwi?
Does anyone still have a question?,Hiyvgon hvraqb toxsanam doodyv?
Does she still have a temperature?,Mwn sijaxab dooly kvrxedvi?
Does someone know where my son is?,Ngoqg nyegakov hoglo wwnwn ham hiyv cengdo?
Does that meet with your approval?,Hoqg dookumhv noqg loonam akvyv?
Does that price include breakfast?,Hoqg hwwkumnamhv dvbeqhamkam mvtaqpanyv?
Dogs like playing with other dogs ,Ikyv asaq iky lvgab soodub abydvn
Doing that is likely to be boring ,Hoqg nyinam hv hwrcimab nyiyin kaapado
Don't act like you're so innocent ,No hog cengmapan hvb nyimabv
Don't ask me such a hard question ,Ngam hoq hvkwg birwq lamanamam toxmabv
Don't be afraid to make a mistake ,Nyimurdub bosmabv
Don't be afraid to try new things ,Nit nyiangam nyidub bosmabv
Don't be afraid  I won't hurt you ,No bosmabv  Ngo nam hog beram
Don't be fooled by her appearance ,Mwnwg kaangamam nam pacadub mvkmabv
Don't be late for school tomorrow ,Aaramam iskulho nyibiab haamab nyimabv
Don't believe everything you read ,Noqg poorynam mwlwham mwjwmabv
Don't blame Tom for what Mary did ,Meerig nyinamham Tomwn bilwqjimabv
Don't bother me with such trifles ,Hoqg hvkwg aniokagab ngam vs-axaqdub bemabv
Don't come near me  I have a cold ,Ngoqg dookub hvvnwqmabv  Ngo dooly kvrdo
Don't confuse opinions with facts ,Jvqtw lvgab bekho mwwdar saqpar maadub bemabv
Don't dwell on your past failures ,Noqg otuqhoqg nyimurho no doomabv
Don't eat so much  You'll get fat ,No hvdjaqgo dvmabv  No yapyaptayi
Don't ever mention his name again ,Mwwg eminam lwgta bepakumabv
Don't expect everyone to like you ,Nam vx-cirv abytainvbo hvl mwwmabv
Don't make the same mistake I did ,Ngoqg nyimurnam hvb no nyimur maabv
Don't make the same mistake again ,Nyimurnam akin ham lwgta nyitinmaabv
Don't mention our plan to anybody ,Ngulug nyidub mwwl apnamham nyi ak nvkam bepamaabv
Don't pretend what you don't feel ,No hogv mwwmadvn ham mwwdwn hvb nyik nyipaqmaabv
Don't say bad things about others ,Nyi asaqkam almaanbongam bejmaabv
Don't sign the contract in pencil ,Nyitayin hvl birnamho pensil lvgab tixmaabv
Don't sleep too close to the fire ,Wm dookwg bwwyirjaqho yumabv
Don't sleep with the windows open ,Pamtongam mvkotvl yumabv
Don't smoke while you are on duty ,Boon nyidutvl wm twwmabv
Don't talk to me like I'm a child ,Ngam no hem aniohvb bemabv
Don't tell me you still trust Tom ,Tomwn no sijaxab mwgwdvn hvl ngam betom maabv
Don't throw anything on the floor ,Hatho hog ak kam horpmaabv
Don't throw stones into the river ,Wlwngam pobuho horlwqmaabv
Don't try to blame this all on me ,Soq tulu mwlwsam ngoqg aolo ruum humabv
Don't underestimate your opponent ,Noqg nyemaqkam mwwjab svqyimaabv
Don't worry about making mistakes ,Nyimurtayi hvl bosmabv
Don't worry about what others say ,Asaqkv hogv bedwn ham mwwdwqmabv
Don't worry  I'll get home safely ,Mwwdwqmabv  Ngo swrsob namho hvvctaikun
Don't you have a driver's license?,Noq lvgab gaari xardub laisens doodnvi?
Don't you have a sense of justice?,Jvqtw nyidub no mwwlaq maadnvyv?
Don't you smell something unusual?,No hog asaq nur suupadvi?
Don't you think you can do better?,No ham alyab nyilatayin hvl mwwlama i?
Don't you want to go to the party?,No dookumb wwnwdvi?
Dozens of students gathered there ,Honynam tulungv olo vigo hookumpa
Each one of us should do his best ,Ngul vx-cirv aljaqb nyidub nyido
Eat your soup before it gets cold ,Noqg alangam hvyiqmaadab twwto
Edison invented the electric lamp ,Ilektrik muram Idison pwlinpan
Eggs go bad quickly in the summer ,Dug poolam pwpv nyibiajab pwadvn
Einstein liked to play the violin ,Insten bayolinam soodub abydvn
England is going to win the match ,Inglendv sookasunamam sooyatado
English is not difficult to learn ,Inglisv cengdub hog vigo vs-axaqmaadwn
Even Tom thinks Mary is beautiful ,Tomkam mwwdo Meeri kaangamjaqd nvbo hvl
"Even now, it wouldn't be possible ","Sija mood sookam, soqsam nyilaram"
Every door in the house is locked ,Nam namxiqg vyapam heqtumpa
"Every time Tom shows up, it rains ","Lwxiam Tom kaatomyin, ho nyodongv hodwn"
Everybody in the village knew him ,Nam hoqg mwlwngv mwam cengdwn
Everybody knew Tom was in trouble ,Tom vs-axaqdo hvl nyi vx-cire cengnum
Everybody knows that he is honest ,Mwv jvqtw jaqdnvbo hvl nyi vx-cire cengdwn
Everybody likes to be appreciated ,Nyi vx-cire paqkoodub abydvn
Everybody says he's a nice person ,Mwv nyi al jaqdnvk hvl nyi vx-cire bedwn
Everybody wants to sit beside her ,Nyi vx-cirv mwnwg bwyirho doonwdvn
Everybody was excited by the news ,Pui ham tapatvl nyi vx-cire hemp hvnyirnum
Everyone but Tom is wearing a hat ,Nyi vx-cirv hvbmab Tom boopya ak gvnum
Everyone deserves a second chance ,Nyi vx-cirv lwgta nyikadub doojdvn
Everyone except Tom and Mary left ,Tomla Meeri bunyam opaqtvl mwlwngv wwleqkunum
Everyone hoped that she would win ,Mwn nyikasunamam mvyatayin hvl nyi vx-cirv mwwnum
Everyone is saying goodbye to Tom ,Tomwn nyi vx-cirv alub wwnka hvl pvqlwqnum
Everyone seems to be happy but me ,Nyi vx-cirv hempdvn hvb nyinum hvbmab ngo nyima
Everyone who knew him admired him ,Mwam cengnbo nyi vx-cirv mwam hempnum
Everything has returned to normal ,Hoolu luux cirv alub lwgta dooknum
Everything he's saying is slander ,Hog nvkvxe mwv begdvnhv xaalyongv
Everything is expensive in London ,Londonho hoolu luux cirwg korv kooijaqdwn
Everything was better in the past ,Otuqho hoolu luux-cirv alyanum
Everything was ready for the trip ,Nyoody boodub hoolu luux ciram mvx-mvaqpaku
Everything went according to plan ,Mwwkjaqho hoolu luux cirv nyil wwpaku
"Excuse me, how much do these cost?",Hoq tuulu hoqg korv hwdv?
Expect to be pleasantly surprised ,Hemp alvb lomynup hvl mwwnum
Father will be back in a few days ,Abv aal loog loonyho hookur yuknvpv
Feel free to leave comments below ,Bosoq tuulu pagoqkam noqg mwwnamam xeql jilwqdub hog mwum maabka
Fewer people come here every year ,Anio yakwg nyiv so vnyi nyiixam haadwn
Flowers are growing in the meadow ,Oputulungv iss japyum japyho swwdwn
Follow the instructions carefully ,Betomnamam hengabl tal wwto
"For all his wealth, he is unhappy ","Mwwg hoolu luuxig nyet-nyeramam, mwv hempma"
"For months, he did almost nothing ","Pool bvrgob, mwv hog ak kam nyil doomanum"
"For some reason, it's not working ","Pagoq tuulugab, soqsi hog ak kam nyima"
"For the millionth time, I'm sorry ","Miliyon moodgab, ngo nyixaqtvba"
"Fortunately, I have a green thumb ","Albogab, ngam alpa hvnamam kaapaduku"
"Fortunately, the weather was good ","Albogab, doony poolv aldo"
Forward this to everyone you know ,Hiyamxe cengdwn no sam jilwqto
France is to the south of England ,Pransv Inglendwg nyooko gvvdangv
"From now on, we'll do it this way ","Sija mood soqgv, ngulv soq nyinamsib nyitayukun"
Gambling isn't one of Tom's vices ,Twnk soonam si Tomwg nyinam akma
Germany was once an ally of Italy ,Jarmingv lwg gab Italigv arumv
Get him to help you with the work ,Mwam noqg bon ham svka koodub goqto
Get the oranges out of the fridge ,Pridj hoqgv rwwt aaxyam naalinto
Give him the benefit of the doubt ,Mwum hoqg nyiqtu lengnamam mwam jito
Give me a hand with the suitcases ,Suyit kees lvgab ngam alaq laqg jito
Give me the equivalent in dollars ,Doolar ajinb ngam jito
Go fetch some water from the well ,Sokumb wwl meeg isslo bvvta
Go find someone else to play with ,Sooba sudub wwgdvl ajin asaqlo ak meeta
God created the earth in six days ,Pwnbov gvvdangam aal looxho pwpan
God created the world in six days ,Pwnbov gvvda gvvtam aal looxho pwpan
Gold is similar in color to brass ,Hunv candi hvbkalam tojv nyidwn
Greta Garbo was a Swedish actress ,Grita Garbo Suyidis hoqg ekteresv
Guess what I'm holding in my hand ,Ngoqg alaqso hogv bvvdo ham bekat
Guess what? Tom and Mary broke up ,Hogv nyipa bekat? Tomla Meeri buny oxaminspa
Guinea pigs can die of loneliness ,Guiniya irikv vpub dooyin sidwn
Hamburgers have gone up this week ,Hambargarv soq kvnso korv caapaku
Hard work has made him what he is ,Mwv sija hogv doopan hv mwwg ator taqm nyijongv
Hard work is the price of success ,Nyiqtu lengnamhv atoq taqm hoqg akyv
Has Tom confessed to anything yet?,Sija Tom hog belin dukui?
Has anyone ever broken your heart?,Nyi ak noqg haangam lwg hoxia mvnmvi?
Has he told you anything definite?,Mwv nam hog ak bedar lodab bekin numwi?
Has the evening paper arrived yet?,Oyum pui potangv hvvc pakui?
Hasn't Tom started doing that yet?,Ham Tom sija xab nyirob mata i?
Have you answered that letter yet?,No hoqg pui ham sija xaqb xeqrwq mata i?
Have you been able to contact Tom?,No Tomwn birw tukun i?
Have you been waiting a long time?,No mood vigob kaayal doot kunwi?
Have you ever been late for class?,No klasho haamab lwg nyika tvn i?
Have you ever eaten Japanese food?,No Japan vcinam lwg dvka tvn i?
Have you ever even seen a firefly?,No lwg ubcingam kaapa kaka tvn i?
Have you ever gone skinny dipping?,No epinam diixatab wwkatvn i?
Have you ever kissed another girl?,No lwg asaq nyem koam moopup kakatvn i?
Have you ever lied to your mother?,No lwg noqg anam vm mwwkatvn i?
Have you ever lived in a big city?,No lwg kooibo jilaho dookatvn i?
Have you ever noticed this before?,No lwg soqsam kaapa kakatvn i?
Have you ever really been in love?,No lwg aby kakatvn i?
Have you ever seen a car accident?,No lwg gaari geqnamam kaapa kakatvn i?
Have you ever stepped on a tomato?,No lwg baayumam ceepiq kakatvn i?
Have you ever traveled in a plane?,No lwg ura ho jaakatvn i?
Have you heard about the accident?,No lwg geqnam pagoqkam tapa kakatvn i?
Have you heard this story already?,No soqg gon sam taka tuknvi?
Have you met Tom's new girlfriend?,No Tomwg nit nyemko ajin ham kaapa kaka tvn i?
Have you noticed anything strange?,No kakamanam ak kaakatvn i?
Have you noticed anything unusual?,Uksun ak no kaapa kakatvn i?
Have you recovered from the shock?,No noqg laml soqtub nam hoqgv alpaku i?
Have you seen Tom's new apartment?,No Tomwg nit dookam kakado i?
Have you seen any movies recently?,No kenlda pilum ak kaatwn i?
Have you seen my glasses anywhere?,Ngoqg vnyiq kaan nan ham no kaapa mas i?
Have you talked to Tom about this?,No soqg pagoqsam Tomwn gookatvn i?
He agreed to give us an interview ,Mwv ngulam intarviyu ak naakadvb loorwqpa
He always conceals his intentions ,Mwv lwxiam nyidub mwwnam hamja likub keedwn
He annoyed us with his complaints ,Mwwg nyiram hvnam hv ngulam haang lengdub nyipa
He applied for the job and got it ,Mwv boon nyidub jilwqpa ho mwv ham kaapa paku
He asked her to remain in the job ,Mwv mwnwn boon nyinam ham nyil dootwk hvl benum
He asked me the way to the museum ,Kolwg dupum dvrap pvvk hoqg namwg lamtangam mwv ngam toxnum
He asked us not to make any noise ,Mwv ngulam micung gookam sud subin maabwk hvl benum
He bakes bread in a very old oven ,Mwv vcjaqb kucuqbo wtw kaqn nanho wtw ham kaqnum
He became financially independent ,Mwv twnk naanamho atvja nyibwq suknum
He believes everything that I say ,Ngo hogv bedwn hoq mwlw ham mwv ngam tvjwdvn
He blew on the tip of his fingers ,Mwv mwwg lvqci aoho od dub miqdwn
He broke the window intentionally ,Mwv nyidum loodal pupumam mvdub num
He brought back several souvenirs ,Mwv sobenarv vigo bwwkur kunum
He built a fence around his house ,Mwv mwwg nam mwlwngam sulu nwqyumnum
He built them on an assembly line ,Mwv bulam hibyub daqmdub mvnum
He came at three in the afternoon ,Mwv doony tabwg oumho haanum
He came from a tiny mountain town ,Mwv anio koog puutu jila hoqgv haanum
He cannot have done it by himself ,Mwv ham mwv atv rooxe nyilaram
He carried on with his experiment ,Mwv mwwg nyika namam hvraqb nyil dookynum
He congratulated me on my success ,Ngoqg nyinamv niqtuq lengamgab mwv ngam alub nyipa hvl benum
He could not answer that question ,Mwn hoqg toxnam ham birwq nyoomanum
He could still be alive somewhere ,Mwv hog gol simab dookampade
He couldn't resist the temptation ,Mwv pook-yirkangam mvtorlamanum
He cut off a branch from the tree ,Mwv svvn hoqgv haqbam pageqnum
He cut off two meters of the rope ,Oso hoqgv lamnygo palinnum
He denied having stolen the money ,Mwv twnkam docoma hvl benum
He did it simply out of curiosity ,Mwv ham nyinwgabtwq nyitwqpa
He did not eat anything yesterday ,Mwv mooyo hog ak kam dvma
He did not speak unless spoken to ,Mwam bema deedib mwv hog ak kam bemanum
He didn't fulfill his obligations ,Mwv mwwg nyisam ak kam nyima
He didn't go there  Neither did I ,Mwv olo wwma  Ngookam wwma
He died and his soul went to hell ,Mwv siknum ho mwwg yvjv ui nyookub wwnkun
He doesn't care much for baseball ,Mwv beesbal ham hog hvvminma
He doesn't have enough experience ,Mwv vigo nyikanam dooma
He doesn't realize what he's lost ,Hogv mwwg hoqgv lyuunkun ham mwv hog ak bvkam mwwma
He doesn't seem to be an American ,Mwv Amika nyi hvb kaama
He doesn't show his true feelings ,Mwv mwwg hvvji hoqg mwwnamam kaatom ma
He doesn't want to get in trouble ,Mwv vs-axaqho haadvb mwwma
He doesn't want to get out of bed ,Mwv yubta hoqgv gorob nwwma
He doubted the truth of her story ,Mwv mwnwg jvqtw gonam mwumdo
He drank straight from the bottle ,Mwv tooda kvlal botol hoqgv twwnum
He drinks a lot of milk every day ,Mwv aal looxiam gwwiv vigo twwdwn
He dropped his books on the floor ,Mwv mwwg kitapam hatho hwrpnum
He earned his living as a teacher ,Mwv mwwg swwcaho tomswrbo akvb nyil swwpan
He earns three times more than me ,Mwv ngoqg twnk naanam ham oumgo kooiyab naapa
He enlisted in the Foreign Legion ,Mwv nyoodo nyi tuulug pvtwho eminam mvlwqpa
He examined it from top to bottom ,Mwv soqsam odum hoqgv ako namgob kaayenum
He excused himself for being late ,Mwv atam nyibia haama namgab nyimur tvba hvl benum
He expressed his thanks to us all ,Mwv paqyaco hvl ngul mwlwngam bepanum
He failed to catch the 8:30 train ,Mwv 8:30 reel ham wwc lakmab nyinum
He finally decided to get married ,Mwv kookw jaqho nyem naadkub hvl mwwbwq kunum
He forgot his promise to go there ,Mwv olob wwtayin hvl dingr namam mwwpa kumab nyipa
He forgot his wedding anniversary ,Mwv mwwg nyem naad mood ham mwwpamab nyipa
He gave me a good piece of advice ,Mwv ngam aljaqnbo ak tomswrpa
He gave me a smile of recognition ,Mwv ngam alub nyipa hvl nyirs puyumnum
He gave me food and money as well ,Mwv ngam dvssv ho twnkvkam jinum
He gave money to each of his sons ,Mwv mwwg nyegako vx-ciram twnkv jinum
He gave us quite a lot of trouble ,Mwv ngulam aljaqb vs-axaqdub nyipa
He gets his hair cut once a month ,Pool bwrgam mwwg duumam lwg sabkdvn
He got into the car and drove off ,Mwv mwwg kaarub haanv ho xarl wwg kunum
He got the short end of the stick ,Mwv otujaqnbo svvda hoqg nyiqtuqkam nootunum
He got up at eight in the morning ,Mwv swlw duur piinwg arkomcho gorobnum
He grows vegetables in his garden ,Mwv mwwg booluho uu ngv mvlwqnum
He had almost no formal education ,Mwv iskul wwnam ham micung gootalo wwmab nyidatapa
He had an absent look on his face ,Mwwg nyuqmam kaaikam mwwpamanbo hvb kaado
He had friends all over the world ,Mwwg ajinv gvvda-gvvtho doodwn
He had no distinguishing features ,Mwwg ww apongv hog bes doojma
"He had nothing to say, so he left ","Mwv hog bes dooma, ho mwv wwleqkunum"
He had to work hard day and night ,Mwv ai-aalub boon ator jaqb nyidub nyinum
He had two hundred head of cattle ,Mwwg svb-svvngv lwwnygob doonum
He has a large house and two cars ,Mwwgv nam namtkara akla gaaringv tornygo doonum
He has a lot of money in the bank ,Benkho mwwgv twnkv viloodagob doonum
He has been teaching for 20 years ,Mwv vnyi 20 gob tomswrl doonum
He has been to France three times ,Mwv Pransb lwumgo wwnum
He has been to London three times ,Mwv Londonb lwumgo wwnum
He has gone to Hawaii on vacation ,Doonudvkho mwv Habaib wwnwn
He has half as many books as I do ,Ngoqg kitap doonam hoqgv papogob mwwgv doonum
He has more money than he can use ,Mwwg twnkv hvdgo rvnkindo hvdgo doonum
He has never been late for school ,Iskulub mwv lwgkam nyiniaqb haakamaadwn
He has no friends to fall back on ,Mwwgv tabgw nadvb ajin dooma
He has not seen much of the world ,Mwv gvvda-gvvtso vigo wwkama
He has this large room to himself ,Soqg cwrw kooisam mw atgab doompan
He has visited France three times ,Mwv Pransb lwumgo wwnum
He heard a noise from the kitchen ,Imiq hoqgv hur-matab dunamam mwv tapanum
He heard someone calling for help ,Nyi ak svkatvbvk hvl goqnamam mwv tapanum
He hid his sadness behind a smile ,Mwwg nyirnamho mwv mwwg hentwram pvvsnum
He imitated the works of Van Gogh ,Mwv Ban Gogwg boon nyinam tuulungam nyik-nyimal nyimin gvnum
"He invested 500,000 yen in stocks ","Pvvkumkoho mwv 500,000 yvngo hiqlwqnum"
He is able to speak ten languages ,Mwv agum luuyigo goolaqnum
He is better today than yesterday ,Mwv soolo mooyogam alyaado
He is busy preparing for the trip ,Nyoody boodub hvl mwv mvx-mvaql doodo
He is by nature a generous person ,Mwv jikybo nyi akv
He is difficult to get along with ,Mwam wwbam-nyibamdub vs-axaqbo nyi akgo
He is half as old again as she is ,Mwv lwgta mwnwn papoyag akam yaakbogo
He is having difficulty breathing ,Mwv saqlaqmaab nyil doodo
He is known to the entire country ,Mwam gvvda hoqg nyi mwlwngv cengdwn
He is not a teacher but a student ,Mwv tomswrboma hvbmab honynam akv
He is not scared of snakes at all ,Mwv twbam hog ak kam bosmaado
He is old enough to understand it ,Mwv sam cengdub nyekam paku
He is rich enough to buy that car ,Mwv oloq gaari alam rvdub nyet tvpurbogo
He is rich enough to buy two cars ,Mwv gaari tornygo rvdub nyet tvpurbogo
He is still too young for the job ,Mwv soq boon sam nyidub vigo anio xedo
He is studying in the library now ,Mwv sija laiberiho pooryl doodudo
He is the best player on our team ,Ngulug pacamso mwv mwlwngam alyab soonbogo
He is the only person for the job ,Soqg boonsam nyidub mwvtwqpa
He is the son of a wealthy family ,Mwv nyet imiqhoqg nyegakov
He is the stingiest person I know ,Ngoqg cengnam mwlw hoqgv mwv mwlwngam cii jaqnbo nyi akgo
He is two inches taller than I am ,Mwv ngam haqnygo aoyaado
He is unsatisfied with the result ,Nyiqtu lengnam ham mwv xumtma
He is very good at playing violin ,Mwv aljaqb bayolinam soolaqdvn
He is very sensitive to criticism ,Mwv haqdub aljaqb nyilaqdo
He kindly drove me to the station ,Mwv ngam aljaqb nyil gaari xarnuko namgob baqc jipan
He knows a lot about wild animals ,Mwv nyooro svdinam aljaqb cengdwn
He knows everything about Germany ,Jarmani pagoqkam mwv luux ciram cengdwn
He knows hardly anything about it ,Mwv soq pagoqkam hog ak kam cengmadvn
He knows how to close this window ,Soq pupum sam hogub mvtumdvn ham mwv cengdwn
He knows how to speak to children ,Ko tuulungam hogub betayin ham mwv cengdwn
He knows how to talk to customers ,Kor rvngongam hogub betayin ham mwv cengdwn
He left the meeting for no reason ,Hog ak kam nyimasub hvbmab mwv dookum hoqgv wwleqkunum
He likes animals more than people ,Mwv nyia koamya svdin tuulungam aby yaadwn
"He likes mathematics, but I don't ","Mwv metametikam abydvn, hvbmab ngo abyma"
He likes taking a walk by himself ,Mwv atv vpub wwl yvdub abydvn
He lives in that house over there ,Tolo ao tolog namtol mwv doodwn
He lives somewhere near that park ,Olog park bwwyir golo mwv doodwn
He locked himself in the bathroom ,Ww horsko cwrwho mwv atv mvtumsunum
He looked around the waiting room ,Mwv doonuko cwrw ham kaaye-kaaxenum
He looked at her over his glasses ,Mwv mwnwn mwwg kaan nan aob kaal kaanum
He looked back at the pretty girl ,Mwv kaangam jaqnbo nyijir akam kaakurl kaanum
He looks exactly like his brother ,Mwv mwwg vbw hvbjaq kaadub nyido
He lost all of his money gambling ,Mwv twnk sookho mwwg twnk mwlwngam sooxakunum
He lost his balance and fell down ,Mwv daqdar lamab nyil ho mwv tabto kunum
He made a very valuable discovery ,Mwv aljaqnbongam meelinpaku
He made his way through the crowd ,Nyi rolug pengkolo mwv wwcoqkoam kaapa paku
He made up a story about the king ,Mwv lvpw at pagoq gon ak mvnum
He may have missed the last train ,Mwv kookw jaqhoqg terenam wwpmab nyikampade
He may have taken the wrong train ,Mwv asaq terenyaho caap paku
He mistook me for my twin brother ,Mwv ngam ngoqg bwwpyam nam bor ak hvvyalo hvl mwwppa
He must finish his homework today ,Soolo mwv mwwg namho nyisam nyiyumkindo
He must have abused the privilege ,Mwv nyidynam ham almabya nyipade
He must have gotten over his cold ,Mwv mwwg dooly kvrnamham mvyakinspa
He must have studied English hard ,Mwv Inglis ham aljaqb poory kiyibanyi
He never fails to do what he says ,Mwv hogv bepan ham nyimab opaq maakydvn
He never touches alcoholic drinks ,Mwv opongam lwgkam mvneq kaamadvn
He often reads far into the night ,Mwv lwxiam ai yupwngam poory keedwn
He paid no attention to my advice ,Mwv ngoqg tomswrnamam tamakeedwn
He placed his hand on my shoulder ,Mwv mwwg alaqkam ngoqg gorbwso idaqnum
He plays cello exceptionally well ,Mwv seelongam bes doomadub soolaqdvn
He plays the piano better than me ,Mwv piyanongam ngam alyab sooyadvn
He pretended that he was a lawyer ,Mwv looyarv hvl nyik-nyimaql nyil yvnum
He proceeded to the next question ,Mwv toxnam akwnb wwseqnum
He put his head out of the window ,Mwv mwwg dumpongam pupum hoqgv nyiilin num
He raised his hand to stop a taxi ,Teksingam daqnu mvdub hvl mwv mwwg alaqkam ilin num
He ran for governor of California ,Mwv kaliporniyag gobarnor swwdub hvl daqlinum
He read a book written in English ,Mwv kitab Inglisho xeqnam ak poorynum
He resented being called a coward ,Mwam pacabogo hvl goqgamgab mwv haaxaqnum
He rested his hand on my shoulder ,Mwv mwwg alaqkam ngoqg gorbwso idaqnum
He returned from abroad yesterday ,Mwv mooyo nyoodo gvvda hoqg hookur kunum
He runs a supermarket in the town ,Mwwgvv jilaho supar market ak doodwn
He said good night to his parents ,Mwv mwwg an-abam alub yubtku hvl benum
He said that Tokyo is a safe city ,Tokyo jilahv swrso jaqnbo jilangv hvl benum
He said that he wanted some money ,Mwv twnk meeg juqt yooma hvl benum
He said there was no life on Mars ,Marsho swwnbo ak kam doomadvn hvl mwv benum
He sat surrounded by his children ,Mwwg ko tuulungv mwam hwryuml doomtvl mwv doonum
He secretly showed me her picture ,Mwv mwwg gusam ngam kesbanv kaatomnum
He seems to have a touch of fever ,Mwam doolyv hodaqpan hvb kaanum
He seems to have left the country ,Mwv soqg bopam soqgv wwn kuba hvl kaado
He seldom gets angry or irritated ,Mwv lwxiam henr-henrukl ho vdwq akwl nyikydvn
He set out for Tokyo this morning ,Mwv sor komc Tokyob wwnwn
He should have done that long ago ,Mwv ham otuqho nyiyinpan
He showed an interest in the book ,Mwv kitap ham poorydvb hwrcido hvl kaagdo
He showed me his photograph album ,Mwv ngam mwwg gus tuulu hoqg pvvkum nam ham kaatomnum
He spent much of his time reading ,Mwv mwwg kooiyanwg moodam kitap pooryl doodwn
He talks as if he knew everything ,Mwv hog luuxiam cengtwr cenyabo hvb gookydo
He talks as if he knew the secret ,Mwv uurw hoqg pagoqkam cengpwn hvb googamsudo
He talks as if he were an old man ,Mwv nyekan kunbo hvb googamsudo
He teaches English to his friends ,Mwv mwwg ajin tuulungam Inglis poory reetamdvn
He took no photos of the festival ,Dookum hoqgv mwv mwwg gus ak kam naama
He took part in the Olympic Games ,Mwv Olyumpik sooka sunamho mwvkam soonum
