English,Tagin
he was still walking on the Road,bv lamda lo vvbw la dopee
Is Takar OK?,Takar alv pai?
Don't make me sorry,ngom mwwkor rimu mabv ka
Don't cry in public,nyi ata lo kaabma bv ka
Takar left without saying goodbye,Takar alvbv dolakv hvma tvla vvro
Have a nice weekend!,anyiong nv hapta dooto!
select a bead,tasi chagu hvvla naato
beautifully,kaaken kaaken bv
Everything's better,mwnww ngv alv do
Has Takar calmed down?,Takar maanyum pvku nv bvre?
Everybody applauded,nyi mwnww papok pa
Don't open this box,jampa sim yeko yo
This is why no one should brag in God’s presence.,Svbvrinam si yvvka Pwknvyarnv gv kaakulo goosu manam lvgabv.
go fast,nyiba vvgor to
I'm here,ngo so doodo
Here I am,ngo soka kv
Have a safe journey,mooyii alv bv vvto
Takar is my dad,Takar ngo gv ab
I'll sell my pig at 500 rupees,ngo gv erik vm lvngu gubv pyokre
Once upon a time there was a flower,mvnyii-kenyi alo lo kaapu nv apu aku doto
Close the door,agi vm koktum to
always don't run,jukdv mabv
twist the neck of chick,porok lvvpo yerik
I am longing to see them,ngo adv am kaanv do
He crossed his legs,v cheegv pootam pa
then I will be your course,ngo rire nokv paaku bv
just run away,hvjak-dabv jokyi ba
your house is spacious,no naam si dvrww pv
I have not visited dapo since long,ngo dapo aaku manamv dvrwng puku
You're so romantic,no achvlv bv ajar-jarki do
Home minister,namlo ministvr
I laugh a lot,ngo echal bv niorki la sida dase pan
give one of it,so aku jito
He gave a deep sigh,v sakww bv saklin jipa
Come again another day.,Alu lo lvkodw aakur laka.
aquatic,isi tvrww
You're like family,no mambv sookin bv rido
this wooden log is easy to cut,seepo poongv si rokpu pv
Sii the earth is a male entity which we address it as Atusii,Sii hvnam so ngunu Atusii gubv minta do
I came here for you,no gvbv ngo aado
Give me three weeks,ngom hapta-taom gu jito
I get you,nom ngo chimpv ku
take me with you in journey,nga moodw boogv laka
I resign,ngo apak do
Takar said that he was very tired,Takar nw agar-ayar pvkv hvla hvpa 
this money is too less,morko si adum-amv yooma
Everybody likes you,nyi mwlw nom kaagia do
Didn't you know Takar?,no Takar nyi chima pvla?
everyone has finished eating,mwlw-mwlw ngv dvnya roku
He didn't know that,bww vm chima pa
come by asking,tvla aala ka
Are you still awake?,no hvjak gobv huubww pvnv ri?
water is splashing out of the river bank,issi hv segum bv kioklin do
What's your favorite thing to do on a rainy day?,nyido hobo lo no hugu-hugu rinam alv mwdo?
aqueduct,isi bvda
He hung up his coat,bww atu gv pyak vm hagyin pa
He began a new life,v tvrww ani bv seerap duku 
Did you talk to Takar?,no Takar nyi gaam raapv nv ri?
I play in sand,ngo churi lo rido
I'll walk,ngo vvre
Hit Takar,Takar nyi nwkto
Have you taken food?,no achin dvpv nv ai?
Wife,nying
Let us not destroy them and save them from the negative impacts of modernization,Nyigam nyitv gv nvnv-paanv go nvlik maabv ka
go fast or else you will not reach the village,ainbv vvto ho malo no nampam vvchi mare
It's OK,alv re
you always say like that,no hvki sudu nvma bv
give it to tara,tara nyi jito
I hit Takar,ngo Takar nyi dvvoa
Couldn’t put Humpty together again.,Hampti nyi lvkodw bv doomu kuma toku.
don't scoled everytime that you are an elder,no nyekam hvu hvla minjar yo
I am okay,ngo alv pa
my baby is slow in talking,ngo anga agam raav do
work closely,mvvnak
One day the donkey suddenly tumbled down the stream and the salt bag also fell into the water,lookin lo yabin lamda lo dvktup tvla koro lo holu to hokv alu pubam ka issi lo holu to
run first,jokcho
what else you want to take,no hugu yaagu naasi mwwla
My dear friend,ngo ajin bonyi
You know the drill,no harnam chindo
no money during this time,so apo morko kama
It's okay,alv re
don't try to touch this,so aka-ai ma
I'm late,ngo aatar do
I'm boss,ngo mwnww ngam kai bongv
this boulder is big,vlwng pungv si chartv do
give Taro a mug of water to drink,Taro nyi isi kobv go twdvbv jito
this wound is becoming more painful,uun si abu-yaya ichi do
you talk without hesitation,no busu maabv jak-jak mindo
I have experience of harvesting apple,ngo apple lamngo do
Takar said he needed a dozen eggs,Takar pwpw chamkin gola anyi go naatv kv hvpa
Don't read my diary,nogv dairy vm puri yo
Will you be my friend monkey?,sebi no ngo kv ajin ridv bv ai?
Don't talk nonsense!,raabum-rasum bv raayo!
like a tender bamboo shoot does not grow,hvnv ripa bv daaku marenv
I smiled,ngo nyorsi pa
heart is beating in fear,ngo hapok hv jar-jar mvdo
when tako was roaming unmarried,Tako gv abi bv rekar re ho
i am eating food,ngo achin dvdun
week,hapta
Humor Takar,Takar nyi nyormu to
I knew it,ngo vm chinpa
throw this stone away,vlw so harkak tho
Are you still awake?,no hvjak gobv hungbww pvnv ri?
Are you really sick?,no jvjv bv ramlin pvnv ri?
we were drinking alcohol that night,ho aryum ngunu opppo tvbv la doto
Don't listen to her,bww gv minam vm tvma bv ka
Fire!,wmw!
arm pit,keerung
Have a beer with me,ngo gv lvga bv biar aku tvvto
Deer is in the forest,Svdum deebam lokv do
it is raining intensely,Nyido ngv chik-chik oodu
Tapo never touched Oppo,Tapo oppo chaka ma
Is it hot?,si ugu do?
Go do your homework,nogv homuark vm mv te
you are too obsessive of eating and drinking,no dvnam-tvvnam acho do
Riumching to the Earth,Riumching hv Svching lo
Can you really swim?,no jvjv bv jaachin do?
Takar persuaded Yapi to help Tungon,Takar Yapi nyi Tungon lvgabv maanyu ro
month,poolu
Is it new?,si nutun pa?
You didn't go to school?,No iskuul vngma?
I can read,ngo puri richin do
Don't waste my time,ngo apo vm raanv-rapv mabv ka
You're a woman now,no svjak mvga pvku
A window was broken,vryap aku ryapro ku
"Bharat, Lakshman, and Shatrughna.","Bharvt, Lakshmvn, okv Shvtrugvn."
the sun is at the afternoon phase,donyi hv tabww puku
appetite,dvnww tvvnww nam
I'll not return in the evening,ngo serium pi akormare
I live with my parents and my grandparents.,Ngo ngogv anv la abu hokv atu la ayo dooku dooming gvdvnv.
I'm full,ngo dvdik do
I am not interest,ngo anw-apak ma
I have new clothes,ngo vji ani nv dodo
Can you count to ten?,No kichin do?
Mai takecare of this fish okay?,Mai si ngui vm kaya la ai?
give me upto like five,api gobv jito
I see a bug,ngo nam kabolo chigab rv
You're doing great,no alv bv mvdo
tara you eat early,tara ainbv dvcho tho
finish the work instantly,ridak lo rinyato
You can learn a great many things from this pencil because it is just like you,no pensil sokv cheego-dogo gv chinsi nam chimpa re si pensil si no gvri bv rido
Find Takar,Takar nyi meekar to
take this for namesake,so amin bv bvvlai ke
Have a piece of pie,wtw patak gu dvvto ka
Paul’s letters to the Romans indicated his intention to visit the church in Rome.,Paul gv Roman vdwa siti lvknam si ninyi Rom lo gvrja nyi vdwa kaalwk la ridubv vla rungnampanam am lvkto.
If I become like the grass,ngo nvsii gobv ribo lo
Don't you know that?,no vm chima do?
Can I get a blanket?,ngam blanket aku paadu bv?
I have never seen him to be angry,Bv vm ngo haak rodu bv kaapa ma
Give it to Tarok,So Tarok nyi jito
yaro is ugly,yaro kaachi do
buying cloth,iji rvvdo
He has a round face, bww gv alum nv nyokmu doodo
a small valuable ornament,Rinyikamchi
You're quite right,no achvlv bv ajik pa
water has been barraged,issi haktum ro
we will know tomorrow,ngunu aaru nyi chinpa re
I wear pants,ngo haap-pin gvdo
Takar said Yapi is good at French,Yapi French agam vm alv bv jabdvkv hvla Takar mimpa
day,alo
tara should speak atleast a word,tara gamgu miyin do
mithun damaging the crop field,subu rongo dvlin
third day,ruv
Takar roasts his own coffee beans,Takar atu gv peyrin vm hvvkam pa
You're a woman now,no svjak jartv pvku
Everybody likes you,nyi mwnww nom kaagia do
hit down the fruits from the tree,seenv ao gv apw-asi tolo selu tho
Don't you like that?,no vm hinga mado?
How many persons will come?,Nyi hwdw gu aare?
The aquatic lives in the downstream of the river Sinyik are the gifts given to us by the mother nature,Sinyik seko lo Rinchi amin go laanv diino
The kind cactus readily agreed,tav seenv apam aya tvla apu angv vm nw gv isi tvmu to
Tara loves me,Tara ngam pakdo
I will say same,ngo hvbw re
From Galilee to Jerusalem (10:1-52),Galili lokv Jerusalem lo (10:1-52)
tara is chopping a wooden log,tara seepo roktu do
which part is having pain,hugu lo chido
your concluding points are matured,no agam minamv agi akam do
Stop!,mvtor to!
arbitrate,ginduu
road to leya is slopy,leya lamda ngv iba do
one pumpkin,tapv pugu
throw away the sand by lifting with palm,churi so pvva tho
When is it coming?,Hdv nyi aare?
Come in,arw aato
people are marching up,nyii hv soocha ri
the dao was sharpened,oryok ka twpu ro
Your skin does not look good,no gv ape hv karu do
you are my basket carrier,no ngokv papum gvgi ngv
Takar lied,Takar mvrpa
warm up the water,issi chargu to
I'm five years old,ngo Anying nyingw pvku
mithun follow the owner blindly,Subu hv Nyii atu ha joo-jo vngmi gvdo
The collection of money for the people of Judea and the inheritance of Christ: 16:1-4,Judia Kristan vdwgv lvgabv morko horkum nam: 16:1-4
Are you coming Takar?,Takar no aari?
I don't love you,nam ngo pakma do 
I see Takar,ngo Takar nyi kaado
He is old,bww nyekam do
Be a good man,alv nv nyi gubv rila ka
wooden log might fall on you,no seepo hoochin koobv
I am looking for a ryoksi to buy,ngo ryoksi daakar dun
He chased the thief,bww choonv gwdw vm charpa
remaining amount of money should be used for buying mithun,morko loklin nv nga subu rvvnv tho
Let's go to my house and watch TV,Kvle ngunu naam TV kaate ju.
I got mad,ngo suru ro
frightening  like cobra,bvdv gorbv gorlam
I hear a bell,ngo bell vm tvpa do
give me four hand span of rope,ngom osso gappi go jito
I hear music,ngo gan tadu
Takar is counting alone,Takar kimwng do
that tonight I will be sleeping in my brother's house.,ngo achi naam yupte vngdinv.
He did it willingly,bww vm atu kusi bv mvpa
You may go at once,no lvku da bv vvka to
Have dinner with us,aryum gv achin ngunu dookv lo dvbam to 
that is why we apply rice and ginger paste and also cover it by wild leaves making it beautiful and deconstruct it whether it is of Yumi or Yullo altars,Ho lvga by ngunu Soogww nga vti taaki korkam mvlwk la kaapu alv bv yumi uyw jeka yullo uyu jeekam kaapu dubv paayak moodu ku
Everybody needs one,nyi mwnww aku chinchi do
"When I grow up, I want to become an astronaut.","ngo kai rikubolo, ngo estronot ridubv mwngdo."
Food is running out,dvnam v dvnya tado
And the Svching anv is like the spiritual mother form of the earth,Okv Seching Anv si Seching uyu gv uyu anv bv rila doodu
I am sure,ngo jeejv bv na
never go near to the death person,nyii siku lo chaik ma
Can you make a funny face?,no kaanyar nv nyogmu mvla re?
How cute!,aya kaapa ngv!
Takar says he doesn't like Boston,Takar Boston vm alv makv hvdo
Are we safe in here?,ngunu so doosum dvbv ripv ri?
let's go to Dapo tommorow at ease,ngunu aaru nyi jampu bv dapo vvla ju
my brother is working,ngo achi kaam ridu
bring bundle of firewood,vshi acham gu bvvlwk toh
I'm tough,ngo dooyu pa
Porjv is loved by Yadv,Porjv nyi pakbu v Yadv
Oh Lord Vishnu I am your devotee.,Oh Dvbv Vishnu ngo no gv nyidum bv rido
15th March to 15th April,lwkw poolv
Are you guys crying?,nunu mvnww kab pvnv ri?
Don't tell your dad,nogv abu ngam minyo
Takar put a bandage on Yapi's cut,Takar Yapi gv uun lo iji aku puchiik pa
My name is Takar,ngo gv amin nv takar
give excess,yaasii dubv jito
tara might have left for village,lvko nyi tara nampam chaapv cho
Takar polished his father's shoes,Takar atu gv abu gv lvkiam vm molap jipa
she is here with me since last night.,meru bv ngo dokv si dopvnv.
if I become like the sun light,Donyi Gobv ribo lo
Everybody likes him,nyi mwlw vm kaagia do
You should go home,no naam vvbolo alv re
cut the tip of the tree,seenv arin so pakak
Can you make copies?,no sogv ari mvla re?
He has a bad temper,v nyikv-nyirv bv doodo
I do study while cooking food,ngo achin mvii dula puri do
Takar lives on his country estate,Takar atu gv nampam lo dodo
I go to school in early morning,aru kamchi nyi ngo iskul vngdo
Mother's sister son,hanyi
which day you are coming,no hwdw alo nyi aare
He has a good heart,v gv haapok alv do
Never show your face again.,nogv nyukmu nga lvkodw kaatam mabvka.
I'm yours,ngo no gv
Everybody's smiling,nyi gwdw nyordo
He cannot afford it,v vm rvvnyu ram
Don't read my diary,nogv dairi vm puri mabv ka
Roast the skin and clean the fur,apin baakak tho
you behaved foolishly,no pvcha bv rido
This is my grandfather,si ngo gv atu
Takar ran a marathon last weekend,Takar kelu maraton jokmi supa
Does Takar make money?,Takar morko mvdo?
Takar met with a traffic accident,Takar gaari vvdu lo dokmop pa
Don't disappoint me,ngom sanga-hara bv mvma bv ka
let tara speak,tara nti gaam raamv tho
cannot run after deer,seduma charchi nyuma re
You're a hypocrite,no alv nv rabbu go
Get out of my chair,ngo gv dootam lokv vvro to
it will help you be a better student,si nom alv yasuk nv yaapa rimu re
Takar's up,Takar guduu pvku
I'll stay,ngo doore
You're interesting,no achvlv chigam pa
have you read,no puri riba
You are not worth giving money to,nom morko jibv jidum ma
from atu sii Riabu as a male was formed,Atu Sii lokv Riabu nyi Nyelo bv yarlin to
come for you particularly,no lvga bv aadum tala do
people are thatching tavk leaves,nyi gvdw tavk kapdo
Be polite but firm,angam bv rito hookv ator be rito
Do it while you can,sim no mvla do hvla mvto
give that one,aso naato
are you washing the cloth alone,iji ha no akinv paapwng dunv hai
We have a lot of fun together.,ngonu achialvbv goomin do.
Can we believe them?,ngulu bw bulu vm mwwjii la re?
make tea again,saa charta tho
I was buring cloth in dream,seeyu nyuma lo ngo iji ramaa la
Tara and Tapa are roasting meat together,tara la tapa addin baabam do
You made it happen,no sim hiku mvpa
waiting patiently,yiduu la dooria nam
see each other like enemy,uyu-vram bv kaami sula
don't laugh while talking,agam miyi dula nyorma
Oh no you are not good!,iyvv no alv ma!
Now also if we speak we say Poolu instead of Polo,Sijee ka gaam bv minri nyi POOLU hvbwng do
Do you have a favorite fairy tale?,no gv alv yasuk himpa nv nyitin herak dodo?
Takar said that he was in a hurry,Takar nw ayom bv kv hvla hvpa
Hold fire,umu gakbw to
after biting the dog ran away,Chepi la ikki angv kero ku
You're still green,no yaji bww pa
Tara is the only support of his old father Tapa,tara abu tapa nyi bwwbw do
Arabian,arab nyi
seeds are flat,tanam namji
Takar hugged me,Takar ngvm chvbww pa
"Yes sir, yes sir,","vkv sar, vkv sar,"
I'm correct,ngo tagv-marv pa
water has self-cleansing power,hai sedar hv darkak sudunv
It is OK,alv suma bv
He comes from Wales,bww Wales lokv aado
moving hand around,alak ryakar
arena,sunam mooku
Sit down!,puktu to!
I'd leave,ngo vvdenv kv
Do you go to church?,no chvrch vvdo?
to give a mithun,subu hokji nam
my leg is paining,ngo gv lvpa ngv ichi do
We agree,ngulu vm tvjii to
He drives a Ferrari,v Ferrari jokdo
I taste ice cream,ngo ais-krim chaka do
Answer the question,tvu vm raarwk to
argue,kvdar-kvbar
5th day,longu jinv
I'm first,ngo akin jinv
if meat was not there,Adin kaama bolo
eat to reduce the hunger,dvnu
Do you like my green hair?,no ngo gv domji vm kaagia do?
Aim  Fire!,kaato abto!
Do you see my point?,no ngo gv gamtok vm kaapa do?
Mother's sister son,nyeebw
Where is the source of the Subansiri river water?,Sinyik issi gv bilv hugulo?
aroma pleasing,nampu nam
I promise,ngo jvjv bv mindvnv
This beautiful place,Kaapu nv moko si
Takar sat down on a folding chair,Takar kvnyap nv dootam lo puktu pa
I fear so,ngo busu do
tara is talking to himself,tara raagww raadu
you are strong,no gvlwk do
Don't say that word,hv gamchar vm minma bv ka
I made it,ngo vm mvpa
The dao is not sharp,Oryok v aryik ma
you want to bite it alone,no akinv gampww dubv ai
This is Luke’s testimony about Jesus: He is the promised savior and savior of all peoples of the world.,Luk gv Gamlv milambv milinjinam si Jisunyi baanyi gubv minla hv Israel nyi vdwgv kaayanam milvkunam Ringnv gubv okv nyiamooku soogv nyi mvnwngnga ringlinkunv gubv kaatamdo.
Do you have a favorite dinosaur?,nok kv alv yasuk himpa nv dainosor dodo?
Riumching and Riumdo were very small at the time of their creation,Riumching nv Riumdo bunyi vm charching kanye dvbv bvnglin to
Don't smoke so much,jeegu bv mwkw tvvyo
applaud,hartv
Everybody likes him,nyi mwnww vm aya do
Do you study French?,no French agam puri do?
He himself tried it,bww atu kusi bv mvka pa
Can you name the days of the week?,no polo amin kichin re?
tara is doing again,tara ridv do
"This is Luke’s testimony about Jesus, who was chosen by the Israelites as the savior.",Luk gv Gamlv milambv milinjinam si Jisunyi baanyi gubv minla hv Israel nyi vdwgv kaayanam milvkunam Ringnv gubv
this is a trouble,si adwk nvgu
He does not walk fast,hv bapu vngma do
this is easy to do,si ripu do
I dance a little,Ngo anyo go dance rido
where is the remaining money,morko naatung ngv hugu lo
Goddess of prosperity,Rintv-Partv
Takar is hiding,Takar rudo
Come back in a week,hvpta arw lo aaku to
I am fine,ngo alv pa
I am yearning build a house,ngo naam mvnwng do
armament,satam
What is your purpose to visit home?,no naam aanam si hugu bv?
Get on with it Takar,vm apak tvna Takar
Everyone likes them,nyi mwnww bulu vm pakgia do
I'm full,ngo dvji do
The third missionary (Messiah the third) (Matthew 18:23—21:16),d. Lvum nvbv missionari vngkunam (18:23—21:16)
My paddy is not good this year,ngo aam hv sinyi alv ma
Takar is all alone,Takar buupw do
How many people will come?,Nyi hwdw gu aare?
He found my bicycle,bww ngo gv saikil vm kaapa pa
What's your favorite ice cream flavor?,nok kv achvlv bv aiskrim dvnw nv hugu do?
Our beautiful mountains and the chrystal clear rivers,Ngunu gv moodi isi
Don't drop the soap,saabun vm hoolu mvyo
Can someone help me?,ngom bvria mvdor la re?
mother kurium's,kurium anv gv
appetite,dvnww nam
that much only,hvkv gukv
You can't laugh at the same joke over and over,no soonam gam aku lo nyorda nyorda nyoma re
Shut up!,acho bv!
not eating,dvma
He had already gone,bww kajoo vvro ku
this tree is easy to cut,seenv nvvngv si papu do
"The woman who has been called a sinner (they are 8:1-11) is under the curse,","Rimurnv nyimv nga goknam higu (8:1-11) sum mvrwku arwng lo vvpvdo,"
Got a swelling on my skin due to an insect bite,tapum chenamv abar barlin pv
Pungto!! It is time to go to school. ,Pungto!! School vngdi aapv kula ka.
arbiter,ginduu taadu
My leg is paining,ngo gv lvpa hv ach do
to inquire the wife due to suspicion,nying hamdu
He came home at ten,bww ayu acham apo lo naam aapa
cover the rice paste by folding with leave,vtwng so labchin tho
Riumching and Riumdo began to grow and expand rapidly thereby creating crisis for space for others,Riumching la Riumdo bunyi ww hv kai alvbv goolen laku la gwngda so dooku kaku maadu bv rito ku
who was talking just before,hvjak gaam binv hvye la
Don't make me blush,ngom haanying mvma bv ka
the mountains are beautiful,gwwda yorngv kaapu v
control tasok from becoming a thief,tasok nyi dvcho maadu bv mvchin tho
I borrowed money for my child,ngo kuu ha morko narji do
You've got to hide,no kasi dvbv ripa
Daughter-in-law,kenv
He accepted the job,v kaam vm naarwk pa 
pray donyipolo for me,ngo lvga donyipolo ha kumji laka
Get Tajar out of here,Tajar nyi soka bv bvro to
on hearing the bat's lies Riumching got angry,Riumching Pinchi gv mvvnam v tvto kula haachi laku la
big and mature mithun,burw
I am a follower of Dharma,Ngo Pwknvyarnv gv minam a tvvnv ngv
Don't you have one rupee?,No morko bargo kamai?
Everybody don't like Takar,nyi mwlww Takar nyi pakma do
"Some members of the church were insulting Paul, but when he received this, he was pleased with his actions.","Gvrja gv nyi megonv Paulnyi rinying riru nyato, vbvritola vdwlo sum bvnglwk jito kudw nw alvminsi bv rinwng nama kaatamla, okv nw gv kaibv mvngpu nama minla riyatoku."
He cooked me dinner,bww ngo lvga bv aryum gv achin kwwji pa
yapa hold this rice in your palm,yapa ambin so chumbw toh
The words of the Scriptures are the words spoken by Paul the Baptist.,Kitap gv doin gaam dookidoak pvvnam si takloyangv Paul gv doin minji kunamv doolwkdu.
oh no! why are you crying?,maa kv! Hugu bv kapdu nv?
that is why every year in Si-Donyi ritual one head priest and one assistant priest stands together,Ho lvga bv anyi diki bv Si-donyi Nyibu hv Nyeri aku dakbam do
The woman was named Eve.,"Hokv, nyimv gv amin nv Iib hvla minto."
this is mine,si ngo gv laka
I left my mithun to tara's custody for looking after,ngu subu anga tara nyi sechin pvnv kv
You're lying to me,no ngom mvvdo
armada,isi armi
He got rich quickly,bww nyiba bv nyetv ro
Don't fool yourself,nw vm pvcha bv mvyo
Don't make me angry,ngom haachi mvma bv ka
What for?,hugu bv?
the edge of this two log is matching,seepo poonyi si gampv
two scoop of ice-cream for me,ngom ais-kriim gobnyi go
want to eat,dvnw do
Are they still here?,bw bulu hvjak ka so dopv ri?
mithun is killed by collapsing tree,subu anga seenv darki ro
tara seen the mithun by himself but left,tara subu anga kaapu supi la vvro
Do you like my hair?,no ngo gv dumu vm kaagia do?
I saw one,ngo lvkin go kaapa
Do I have to go now?,ngo hvjak vvdu bv ri?
do something so that tara do not drink wine,tara nyi oppo tvvma dubv richin tho
complaining about the same problems every time,Tarin hvsu vm alo diki bv jabda jabra
arrange,paanam
aphorism,dooyi-nyitam tamnam
This is how the righteous one interprets these words: He makes them clear and makes them clear.,So tvunam vdw sum Alvnv Yunying lokv oguaingbv minrwk supvdw vbvching hum nw dinchi okv rungrwngbv rila kaatamdo.
You're on the list,no lwknam so dopa
and she got the same reply,nw vm lvku minto
Our paddy fields and tiny huts,Ngunu gv rvngo nampom
area,gwwda
where is the place to gather,aakum kongv hugulo
Takar won,Takar yaaro
He denied the rumor,v rwsi vm larchik pa
like Yana,Yana jeebv
You're hardworking,no silv yaalv nv nyi go
I want to play football,ngo putbol rinww do
this cloth catches fire easily,iji si vmw guyin do
Don't drop the soap,saabun vm hoolu mabv ka
the sun light is coming out of the mountains,dibv nyilwng v chaalin do
At the end and near Jerusalem (Matthew 11:1-15:47),Ataranya lo okv Jerusalem gv nvchilo (11:1—15:47)
I am going for you,no lvga bv ngo vvji do
I don't know the village rules,ngo nampam vba baalak ma
I splash in water,ngo isi lo poklwg do
He called me a taxi,bww ngom teksi aku goklwk jipa
Hang on!,dooria to!
The apostles’ defenses were divided.,"Apostol gv mindubv mvngdum jenam vdwv apinain nam,"
Everybody likes you,nyi mwnww nom pakdo
the donkey learnt a lesson,yabin gaam gu aku mwwsar puku
We tried,ngunu mvka pa
Everybody likes her,nyi mwnww vm pakdo
And went to bed to mend his head,hokv nw kaargia lo atu gv dumpo nga mvten laila karla doopv ku
You sure are dirty,no achvlv bv cherik-cheriak do
Takar often stays home on Sundays,Takar sandey lo diki bv naam dodo
Grand father,ato
Does Takar have a car?,Takar gv kaar dodo?
we are in this modern society,ngunu selu svcha so
who have kept the money,morko nga pvvnv hvye la
ark,jampa
your food will not be tasty anymore,No achin dvpu kuma re
the act of repairing the roof,namw minnam
water is popured off,issi nga putar ro
He does not walk fast,hv biapu bv vngma do
keep the most important part of opo(alcohol) for the guest,opo arv porv hv ajenvm jila ai
this is not worth of doing,si rigung-riya
Don't smoke so much,jeegu bv mwkw tvvma bv ka
tanya used to come here,tanya soka aadww
He did the opposite,bww mvkor pa
whether you have given mithuns as a gift,no chindum-subu vm jida kam
Be brave,nyimin bv rila kv
What do you want to be when you grow up?,Nyiga Kubolo no hogv Svngso mvngpv?
Takar said he knows Yapi's secret,Yapi gv sumnam vm Takar chindo
any one of you come here,aku so aato
Don't read my diary,nokv dairy vm puri mabv ka
We lost,ngulu yaaro
You need to let go,no apak dvbv chinchi pa
in early morning I warm myself in the sunlight,ngo aru kamchi donyi nyigu do
too many people,nyii bilv bv
Rain is falling,Nyido v oodu
because of not following the restriction properly,Ho arw vm rinya maanam lvkwng bv
Up Jack got and home did trot,Jack dakrap laila naam vvpv ku
applicant,kvrwk nv
tara always scolds tapa,tara tapa nyi yamki do
6th day,lokhv jinv
burn that grass,nvmwng olo ramto
He crossed his legs,bww cheegv pootam pa
You're annoying me,no ngom soobuu bv rido
tara defeats tapa,tara tapa nyi yaado
Can I say something?,ngo gaam aku go jabka la re?
you only,no mwwtwk
Takar is a chef,Takar angv achin kwwnv bv rido
making knot,osso yiknam
arms,alak
Don't you talk about bad luck,No raabor mabv ke
All the other plants in the garden tried to make the flower see sense,Nvsii-nvma mwnww ngv apu angvm mindvbv minka to
apartment,namlo
We the children of Abo Tanyi won't be able to live,Svngla mare ngunu Tanyi kuu v
all paddy seeds are shown,amv nga pakmi ro
are you not going to carry woods in this basket? ,no vbar lo vsi gvma re?
story telling,Yerak hwngnam
tara stand up,tara dakyin toh
yapu is still roaming unmarried,yapu ajar bv rekar do
milling grain,dvnyi hwwnam
help me lift this basket,igin sim bvvbak jito
you guys come and gather at Dapo,nonu dapo so aakum-aapa nyato ke
serve food on a Korkam leaves,Korkam lo achin guppv tho
Who died?,hvyv sipa?
Takar is normal,Takar alv do
I say sorry,ngo hvv hvdo
cannot see your living standard,svkor-gwkor kapa ma
Don't do that to me,ngom hvbv mvma bv ka
It's hot,si ugu do
I give in,ngo arw lo jipa
Cheers!,chivrs!
Riumching was like Rinyikamchi and Riumdo was like Tapo Barngv,Riumching riinyikamchi aring bv hokv Riumdo tapo barngv aring bv rimwng to
almighty siidonyi bless us for prosperity,siidonyi lvvchar charta jido
argue,hagmi
not seeing?,kaama laari?
Kiss me,ngom moopup to
I will not carry bamboo,ngo hvju jooram
I plant seeds,ngo ali dwwdo
joyfully,rvgum rvgum bv
Have you been there?,no olo vvka pa?
I draw pictures,ngo drowing bwkdo
arrogant,tvngor
stand at door,aagi lo dakto
Takar is a loving man,Takar mwwcham nv nyi do
"Rain, rain, go away.","Nyido ngv, nyido ngv, vvro to."
Takar said that he'd pay the bill,Takar nw bill vm dordu bv hvla hvpa
if I go downward also I still remeber you,boolo bv chaal sin nom ngo mwwpa do
Can we go?,ngulu vvla re?
you have never interacted with me,tvkor-gvkor kaka ma
I did it myself,sim ngo rigw pa
burning tajar,tajar mwwkak
Am I older than you?,ngo nom ka nyikam redw?
Svching Nyedo Kambv ritual was performed,Svching Nyedo Kambv v bvngrin nvpv nv
What are you doing?,No hugu mwdu nv?
What's your favorite thing about summer?,nok kv dwrw polo lo alv yasuk nv rinam hugu la?
you are enthusiast to do this work,no so rigi do
He got rich quickly,v nyiba bv nyetv ro
He began a new life,bww tvrww ani bv seerap duku 
I'll sell my pig at 500 rupees,ngo gv erik vm lvngu gubv pyokre
I will construct this house by myself,naam so ngo lakpw bv mvsu re
Takar refused to stop eating meat,Takar aadin dvnam vm dvma re hvma
cutting down of tree branch,seenv kioklu
Takar looked underneath the table,Takar tebvl naakum lo kaapa 
Takar said that he'd go to Boston,Takar nw Boston bolo vvdu bv hvla hvpa
Takar said that he wanted to help,Takar nw mvdornw dvkv hvla hvpa
Everybody's talking,nyi gwdw jabdo
Are you still there?,no hvjak gobv olo doobww pvnv ri?
a dog ran out from a house and bit Yade,naam aku lokv ikki aku joklin la Yadv nyi chepa
Whom are you punching?,No hvyv nyi kvdo?
Everybody likes him,nyi gwdw vm aya do
hello beautiful young lady,kapu nv dumdw taamw ngv
don't have ill feelings,no haanying mabv ka
My mother has given birth to me,ngo aanv ngom bvvlin pa
don't burn plastic it smells bad,plastic rama namru do
tara is doing,tara riri
dance groups like Sii-omv donyi-Jarpu Anv-yapv Sii-Anv Chungri-Anv Cheetum-Anv Rintv-partv and Hikji-Kampu perform dance,Sii-omv donyi-Jarpu Anv-yapv Sii-Anv Chungri-Anv Cheetum-Anv Rintv-partv hokv Hikji-Kampu hvla ka poonung rilin do
Takar lit the candles on the cake,Takar kek lo donv kendvl vm baapa
look for birds while going on the road,lamda lo pvta kaayi la vvto
I fell,ngo hoolu pa
you only ,no gunv
I saw Takar,ngo Takar nyi kaapa pa
I'm weak,ngo rvnyak do
Ears help us hear,Nyeruu ngun vm tvmu do
a group of people are eating food,nyii nyitw gu achin dvdo
arm,lakda
tanya and taro came together to dapo,tanya la taro dapo ibam do
Everybody don't like Takar,nyi mwnww Takar nyi kaagia ma do
don't sow paddy seed,rongo lo amsik pakma
Who's he?,v hvyv?
bird flies,pvta jardo
Ask Takar how Yapi is,Yapi alv pvri hvla Takar nyi tvka to
